district,city,landSize,buildingSize,bedrooms,bathrooms,floors,garages,electricity,furnishing,priceNumeric
Ngaglik,Sleman,146.0,170.0,4.0,3.0,2.0,2.0,Lainnya,Semi Furnished,2500000000
Sleman,Sleman,158.0,180.0,5.0,5.0,2.0,2.0,Lainnya,Unfurnished,3250000000
Ngaglik,Sleman,130.0,45.0,2.0,1.0,1.0,2.0,Lainnya,Unfurnished,650000000
Ngaglik,Sleman,110.0,135.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,1650000000
Ngaglik,Sleman,90.0,180.0,4.0,3.0,2.0,2.0,Lainnya,Semi Furnished,990000000
Ngaglik,Sleman,135.0,170.0,5.0,3.0,2.0,2.0,Lainnya,Unfurnished,1700000000
Ngaglik,Sleman,126.0,110.0,4.0,2.0,2.0,2.0,Lainnya,Furnished,1300000000
Ngaglik,Sleman,113.0,101.0,3.0,3.0,2.0,,Lainnya,,2200000000
Ngaglik,Sleman,113.0,88.0,3.0,2.0,2.0,,Lainnya,Furnished,2100000000
Berbah,Sleman,144.0,90.0,3.0,2.0,1.0,,Lainnya,Unfurnished,1000000000
Godean,Sleman,112.0,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,876000000
Sleman,Yogyakarta,110.0,126.0,3.0,3.0,,2.0,Lainnya,Semi Furnished,1280000000
Sleman,Yogyakarta,110.0,126.0,3.0,3.0,,2.0,Lainnya,Semi Furnished,1280000000
Sleman,Yogyakarta,110.0,117.0,3.0,3.0,2.0,2.0,Lainnya,Semi Furnished,1500000000
Kaliurang,Sleman,153.0,90.0,3.0,2.0,2.0,2.0,Lainnya,,1700000000
Sleman,Sleman,100.0,139.0,3.0,3.0,2.0,2.0,Lainnya,Furnished,1500000000
Sleman,Yogyakarta,171.0,123.0,3.0,3.0,2.0,2.0,Lainnya,Semi Furnished,1850000000
Sleman,Sleman,110.0,136.0,3.0,3.0,2.0,2.0,Lainnya,Semi Furnished,1500000000
Sleman,Sleman,285.0,179.0,5.0,2.0,1.0,2.0,Lainnya,Unfurnished,1650000000
Sedayu,Bantul,142.0,90.0,3.0,2.0,1.0,,Lainnya,,580000000
Kalasan,Sleman,174.0,130.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1700000000
Sleman,Yogyakarta,104.0,95.0,3.0,2.0,2.0,1.0,2200 Watt,Furnished,700000000
Umbulharjo,Yogyakarta,100.0,54.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,850000000
Ngemplak,Sleman,110.0,105.0,3.0,3.0,2.0,2.0,Lainnya,Furnished,1750000000
Godean,Sleman,108.0,45.0,3.0,1.0,1.0,1.0,3300 Watt,Furnished,350000000
Ngaglik,Sleman,90.0,130.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,1400000000
Kalasan,Sleman,203.0,120.0,3.0,2.0,1.0,2.0,Lainnya,Furnished,1750000000
Depok,Sleman,128.0,180.0,4.0,4.0,2.0,2.0,Lainnya,Furnished,2500000000
Mlati,Sleman,104.0,104.0,3.0,3.0,2.0,2.0,Lainnya,Unfurnished,1350000000
Kasihan,Bantul,165.0,300.0,5.0,6.0,2.0,4.0,Lainnya,Furnished,3300000000
Condong Catur,Sleman,130.0,180.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,2100000000
Ngemplak,Sleman,275.0,160.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,2000000000
Condong Catur,Sleman,105.0,155.0,4.0,5.0,2.0,2.0,Lainnya,Unfurnished,1850000000
Ngemplak,Sleman,155.0,170.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,2400000000
Ngemplak,Sleman,162.0,120.0,4.0,2.0,2.0,2.0,Lainnya,Unfurnished,1760000000
Bantul,Bantul,164.0,230.0,3.0,3.0,2.0,2.0,Lainnya,Semi Furnished,875000000
Pakem,Sleman,472.0,130.0,5.0,3.0,1.0,2.0,Lainnya,Unfurnished,3500000000
Sewon,Bantul,127.0,60.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,1300000000
Umbulharjo,Yogyakarta,197.0,308.0,4.0,3.0,2.0,,3300 Watt,Unfurnished,2200000000
Sleman,Yogyakarta,85.0,60.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,625000000
Depok,Sleman,213.0,256.0,20.0,20.0,2.0,,Lainnya,,3750000000
Kaliurang,Sleman,117.0,45.0,3.0,2.0,1.0,1.0,3300 Watt,Furnished,187000000
Kaliurang,Sleman,145.0,45.0,2.0,1.0,1.0,1.0,3300 Watt,Furnished,350000000
Godean,Sleman,108.0,45.0,2.0,2.0,1.0,,Lainnya,Furnished,313000000
Tempel,Sleman,160.0,45.0,2.0,1.0,1.0,1.0,3300 Watt,Furnished,280000000
Kalasan,Sleman,109.0,45.0,2.0,1.0,1.0,1.0,3300 Watt,Furnished,195000000
Prambanan,Sleman,110.0,125.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1200000000
Sleman,Sleman,45.0,39.0,2.0,2.0,1.0,,1300 Watt,Unfurnished,295000000
Sleman,Sleman,120.0,75.0,3.0,2.0,1.0,,1300 Watt,,750000000
Sleman,Yogyakarta,85.0,45.0,2.0,1.0,1.0,1.0,1300 Watt,Furnished,525000000
Ngaglik,Sleman,171.0,123.0,3.0,3.0,2.0,3.0,Lainnya,Semi Furnished,1850000000
Sleman,Sleman,100.0,36.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,575000000
Sleman,Sleman,136.0,80.0,3.0,2.0,1.0,,1300 Watt,Semi Furnished,1570000000
Ngaglik,Sleman,180.0,220.0,4.0,3.0,2.0,,Lainnya,Furnished,3990000000
Depok,Sleman,337.0,281.0,5.0,4.0,2.0,2.0,2200 Watt,Semi Furnished,3000000000
Godean,Sleman,113.0,110.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,1600000000
Umbulharjo,Yogyakarta,109.0,180.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1850000000
Condong Catur,Sleman,180.0,140.0,3.0,2.0,1.0,,Lainnya,Unfurnished,1450000000
Godean,Sleman,128.0,70.0,3.0,2.0,1.0,,Lainnya,,800000000
Maguwoharjo,Yogyakarta,151.0,161.0,3.0,4.0,2.0,,Lainnya,Unfurnished,1500000000
Ngaglik,Sleman,119.0,85.0,3.0,2.0,1.0,,2200 Watt,Furnished,1200000000
Sedayu,Bantul,100.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,435000000
Mlati,Sleman,99.0,70.0,3.0,2.0,1.0,,1300 Watt,Semi Furnished,685000000
Sidoarum,Yogyakarta,109.0,114.0,3.0,3.0,2.0,,2200 Watt,Furnished,1500000000
Sleman,Sleman,117.0,110.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1530000000
Kalasan,Sleman,132.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,870000000
Kraton,Yogyakarta,350.0,250.0,5.0,5.0,1.0,,Lainnya,Semi Furnished,4200000000
Mantrijeron,Yogyakarta,264.0,400.0,5.0,5.0,2.0,1.0,Lainnya,,3000000000
Kulonprogo,Kulon Progo,157.0,50.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,488000000
Kotagede,Yogyakarta,72.0,36.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,325000000
Terban,Yogyakarta,374.0,150.0,3.0,,1.0,,Lainnya,Unfurnished,5200000000
Pakualaman,Yogyakarta,684.0,349.0,6.0,7.0,1.0,,7700 Watt,Furnished,15000000000
Patuk,Gunung Kidul,72.0,43.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,380000000
Playen,Gunung Kidul,60.0,30.0,2.0,1.0,1.0,,900 Watt,Unfurnished,200000000
Cebongan,Sleman,174.0,100.0,2.0,2.0,2.0,1.0,5500 Watt,Furnished,2100000000
Ngaglik,Sleman,262.0,155.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1200000000
Kaliurang,Yogyakarta,300.0,265.0,5.0,4.0,2.0,3.0,Lainnya,,4900000000
Ngemplak,Sleman,123.0,90.0,3.0,2.0,1.0,,Lainnya,,1220000000
Ngaglik,Sleman,190.0,120.0,4.0,4.0,2.0,,Lainnya,Unfurnished,2100000000
Ngaglik,Sleman,93.0,80.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1170000000
Ngemplak,Sleman,102.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,450000000
Purwomartani,Sleman,203.0,120.0,3.0,2.0,1.0,,Lainnya,Semi Furnished,1740000000
Ngemplak,Sleman,160.0,90.0,3.0,2.0,1.0,,Lainnya,Unfurnished,985000000
Ngemplak,Sleman,111.0,50.0,2.0,1.0,1.0,,Lainnya,Unfurnished,400000000
Umbulharjo,Yogyakarta,420.0,200.0,4.0,3.0,1.0,,Lainnya,,4200000000
Sleman,Yogyakarta,152.0,150.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,2900000000
Sleman,Sleman,124.0,127.0,4.0,2.0,2.0,,2200 Watt,Unfurnished,2450000000
Purwomartani,Sleman,215.0,169.0,4.0,4.0,2.0,,3500 Watt,Furnished,2400000000
Pakem,Sleman,126.0,79.0,3.0,1.0,1.0,,Lainnya,Semi Furnished,1340000000
Pandak,Bantul,245.0,150.0,4.0,3.0,1.0,4.0,Lainnya,,500000000
Jetis,Bantul,80.0,100.0,2.0,2.0,2.0,1.0,Lainnya,,550000000
Condong Catur,Sleman,162.0,230.0,4.0,4.0,3.0,,3500 Watt,Furnished,6800000000
Kota Baru,Yogyakarta,297.0,180.0,6.0,2.0,1.0,,1300 Watt,Unfurnished,5000000000
Panjatan,Kulon Progo,96.0,50.0,3.0,1.0,1.0,,Lainnya,Unfurnished,446800000
Piyungan,Bantul,90.0,50.0,2.0,1.0,1.0,,Lainnya,Unfurnished,375000000
Kulonprogo,Yogyakarta,114.0,50.0,2.0,1.0,1.0,,Lainnya,Semi Furnished,398000000
Pundong,Bantul,88.0,42.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,350000000
Wirobrajan,Yogyakarta,402.0,173.0,4.0,3.0,1.0,3.0,Lainnya,Unfurnished,3200000000
Godean,Sleman,103.0,120.0,3.0,4.0,2.0,,Lainnya,Furnished,1600000000
Prambanan,Sleman,60.0,30.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,255000000
Condong Catur,Sleman,97.0,93.0,3.0,2.0,1.0,,Lainnya,Semi Furnished,1500000000
Mlati,Sleman,166.0,200.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,2650000000
Tempel,Sleman,80.0,30.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,354000000
Mlati,Sleman,110.0,107.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,2110000000
Mlati,Sleman,260.0,142.0,3.0,3.0,2.0,,3500 Watt,Unfurnished,4490000000
Mlati,Sleman,153.0,135.0,3.0,3.0,2.0,,3500 Watt,Unfurnished,3230000000
Kalasan,Sleman,61.0,35.0,2.0,1.0,1.0,1.0,900 Watt,Unfurnished,280000000
Godean,Sleman,108.0,100.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1550000000
Kalasan,Sleman,70.0,45.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,490000000
Piyungan,Bantul,90.0,50.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,375000000
Maguwoharjo,Yogyakarta,131.0,130.0,3.0,3.0,2.0,,3500 Watt,Furnished,3700000000
Sleman,Yogyakarta,222.0,100.0,2.0,1.0,1.0,1.0,Lainnya,Semi Furnished,750000000
Wates,Kulon Progo,230.0,125.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,600000000
Prambanan,Sleman,110.0,80.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,550000000
Prambanan,Sleman,80.0,55.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,395000000
Sleman,Sleman,126.0,60.0,3.0,2.0,2.0,,Lainnya,Unfurnished,799000000
Mlati,Sleman,80.0,30.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,354000000
Cebongan,Sleman,120.0,118.0,3.0,3.0,2.0,,2200 Watt,Furnished,2600000000
Tempel,Sleman,190.0,86.0,,,1.0,,Lainnya,Unfurnished,285000000
Godean,Sleman,114.0,165.0,,,2.0,,Lainnya,Unfurnished,520000000
Wirobrajan,Yogyakarta,135.0,179.0,4.0,4.0,2.0,2.0,2200 Watt,Semi Furnished,3200000000
Sleman,Sleman,112.0,80.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,745000000
Condong Catur,Sleman,97.0,93.0,3.0,2.0,1.0,,2200 Watt,Semi Furnished,1500000000
Berbah,Sleman,117.0,68.0,2.0,1.0,1.0,,Lainnya,Unfurnished,287000000
Gamping,Sleman,90.0,75.0,2.0,2.0,2.0,,Lainnya,Semi Furnished,1850000000
Sedayu,Bantul,74.0,43.0,3.0,1.0,2.0,,Lainnya,Unfurnished,430000000
Kasihan,Bantul,96.0,51.0,,,1.0,,Lainnya,Unfurnished,227000000
Sedayu,Bantul,73.0,36.0,2.0,1.0,1.0,,Lainnya,Unfurnished,299000000
Wirobrajan,Yogyakarta,363.0,265.0,6.0,4.0,2.0,2.0,2200 Watt,Furnished,6000000000
Ngaglik,Sleman,60.0,56.0,,,1.0,,Lainnya,Unfurnished,390000000
Condong Catur,Sleman,97.0,93.0,3.0,2.0,1.0,,2200 Watt,Furnished,1500000000
Depok,Sleman,70.0,45.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,491000000
Kasihan,Bantul,83.0,60.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,495000000
Kasihan,Bantul,90.0,70.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,590000000
Gamping,Sleman,135.0,90.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1500000000
Umbulharjo,Yogyakarta,171.0,150.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,990000000
Sedayu,Bantul,200.0,180.0,3.0,2.0,1.0,,Lainnya,Unfurnished,550000000
Sedayu,Bantul,60.0,40.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,325000000
Sedayu,Bantul,80.0,36.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,309000000
Sleman,Sleman,1000.0,400.0,8.0,8.0,1.0,,6600 Watt,Furnished,6900000000
Sedayu,Bantul,200.0,180.0,3.0,2.0,1.0,,3300 Watt,Unfurnished,550000000
Gamping,Sleman,204.0,200.0,2.0,2.0,2.0,,7700 Watt,Unfurnished,1800000000
Wirobrajan,Yogyakarta,363.0,265.0,6.0,4.0,2.0,,Lainnya,Furnished,6000000000
Umbulharjo,Yogyakarta,99.0,122.0,2.0,2.0,2.0,,Lainnya,Unfurnished,1140000000
Gamping,Sleman,135.0,90.0,3.0,2.0,1.0,,2200 Watt,Furnished,1500000000
Mlati,Sleman,110.0,146.0,4.0,4.0,2.0,,Lainnya,Unfurnished,1800000000
Sleman,Yogyakarta,90.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,785000000
Gamping,Sleman,120.0,100.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1800000000
Depok,Sleman,324.0,279.0,5.0,3.0,2.0,1.0,5500 Watt,Semi Furnished,4000000000
Prambanan,Sleman,176.0,60.0,3.0,1.0,1.0,,Lainnya,Unfurnished,470000000
Sleman,Yogyakarta,99.0,57.0,2.0,1.0,1.0,,Lainnya,Unfurnished,622000000
Gamping,Sleman,120.0,100.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1800000000
Gamping,Sleman,94.0,150.0,4.0,2.0,2.0,,900 Watt,Unfurnished,470000000
Depok,Sleman,318.0,320.0,4.0,3.0,2.0,,Lainnya,Unfurnished,3000000000
Sleman,Yogyakarta,128.0,210.0,3.0,3.0,2.0,,Lainnya,Unfurnished,2800000000
Umbulharjo,Yogyakarta,63.0,74.0,2.0,2.0,2.0,,2200 Watt,Unfurnished,1600000000
Sidoarum,Yogyakarta,108.0,100.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1550000000
Godean,Sleman,108.0,100.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1550000000
Prambanan,Sleman,72.0,30.0,2.0,1.0,1.0,,Lainnya,Unfurnished,265000000
Ngemplak,Sleman,242.0,300.0,4.0,3.0,2.0,,Lainnya,Unfurnished,3500000000
Sleman,Yogyakarta,460.0,230.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,4750000000
Mlati,Sleman,120.0,118.0,3.0,3.0,2.0,,Lainnya,Furnished,2600000000
Wonosari,Gunung Kidul,72.0,40.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,300000000
Ngaglik,Sleman,80.0,321.0,4.0,2.0,1.0,,2200 Watt,Unfurnished,2500000000
Cebongan,Sleman,120.0,118.0,3.0,3.0,2.0,,Lainnya,Furnished,2600000000
Mlati,Sleman,110.0,75.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1800000000
Mlati,Sleman,110.0,146.0,4.0,4.0,2.0,,3500 Watt,Unfurnished,1800000000
Mlati,Sleman,110.0,146.0,4.0,4.0,2.0,,Lainnya,Unfurnished,1800000000
Tempel,Sleman,192.0,100.0,,,1.0,,Lainnya,Unfurnished,280000000
Mlati,Sleman,110.0,75.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1800000000
Sedayu,Bantul,84.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,430000000
Sleman,Sleman,210.0,190.0,,,1.0,,Lainnya,Unfurnished,380000000
Wates,Kulon Progo,230.0,125.0,3.0,2.0,1.0,,Lainnya,Unfurnished,600000000
Sedayu,Bantul,84.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,430000000
Mlati,Sleman,208.0,100.0,,,2.0,,Lainnya,Unfurnished,860000000
Cebongan,Sleman,120.0,118.0,3.0,3.0,2.0,,Lainnya,Furnished,2600000000
Mlati,Sleman,692.0,250.0,5.0,3.0,1.0,,2200 Watt,Unfurnished,1850000000
Depok,Sleman,70.0,50.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,800000000
Gamping,Sleman,118.0,90.0,4.0,2.0,1.0,,2200 Watt,Unfurnished,1150000000
Ngaglik,Sleman,359.0,330.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1900000000
Ngemplak,Sleman,110.0,60.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,450000000
Ngemplak,Sleman,110.0,60.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,450000000
Ngaglik,Sleman,110.0,60.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,450000000
Ngaglik,Sleman,221.0,330.0,16.0,16.0,2.0,,Lainnya,Furnished,4700000000
Purwomartani,Sleman,180.0,180.0,5.0,4.0,2.0,,Lainnya,,2300000000
Sleman,Sleman,122.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,665000000
Maguwoharjo,Yogyakarta,275.0,160.0,4.0,3.0,2.0,,Lainnya,,2000000000
Ngaglik,Sleman,178.0,145.0,4.0,4.0,2.0,,Lainnya,,1980000000
Mlati,Sleman,114.0,114.0,2.0,2.0,1.0,,Lainnya,,575000000
Mlati,Sleman,100.0,50.0,3.0,1.0,1.0,,Lainnya,,600000000
Ngaglik,Sleman,107.0,100.0,3.0,3.0,2.0,,Lainnya,Unfurnished,989000000
Gamping,Sleman,125.0,70.0,2.0,1.0,1.0,,Lainnya,,850000000
Godean,Sleman,102.0,55.0,2.0,1.0,1.0,,Lainnya,,615000000
Sleman,Sleman,100.0,60.0,2.0,2.0,1.0,,Lainnya,,570000000
Gamping,Sleman,426.0,200.0,4.0,4.0,2.0,2.0,Lainnya,,2800000000
Ngemplak,Sleman,116.0,69.0,3.0,1.0,1.0,,Lainnya,,450000000
Mlati,Sleman,428.0,225.0,5.0,5.0,1.0,1.0,Lainnya,,4800000000
Godean,Sleman,151.0,160.0,4.0,2.0,1.0,,Lainnya,Unfurnished,1400000000
Ngaglik,Sleman,125.0,100.0,3.0,2.0,,,2200 Watt,Semi Furnished,885000000
Ngemplak,Sleman,136.0,150.0,3.0,3.0,2.0,,3300 Watt,Unfurnished,1550000000
Depok,Sleman,109.0,140.0,4.0,3.0,2.0,1.0,Lainnya,Unfurnished,1650000000
Sewon,Bantul,82.0,72.0,3.0,2.0,,,1300 Watt,Semi Furnished,900000000
Godean,Sleman,200.0,150.0,4.0,3.0,1.0,,Lainnya,Unfurnished,1600000000
Piyungan,Bantul,236.0,236.0,4.0,1.0,,,2200 Watt,,900000000
Purwomartani,Sleman,107.0,43.0,2.0,1.0,,,Lainnya,Unfurnished,499000000
Maguwoharjo,Yogyakarta,162.0,140.0,3.0,2.0,2.0,,Lainnya,,1270000000
Depok,Sleman,135.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,950000000
Mlati,Sleman,180.0,250.0,4.0,3.0,2.0,1.0,Lainnya,,2800000000
Mlati,Sleman,174.0,140.0,4.0,3.0,2.0,,Lainnya,Unfurnished,2100000000
Mlati,Sleman,266.0,261.0,5.0,4.0,2.0,1.0,Lainnya,Unfurnished,3250000000
Ngaglik,Sleman,276.0,226.0,3.0,4.0,2.0,2.0,3500 Watt,Unfurnished,4000000000
Ngemplak,Sleman,110.0,103.0,4.0,4.0,2.0,,1300 Watt,Unfurnished,1300000000
Mlati,Sleman,589.0,551.0,6.0,7.0,2.0,1.0,Lainnya,Semi Furnished,5500000000
Mlati,Sleman,443.0,550.0,10.0,8.0,2.0,2.0,3500 Watt,Semi Furnished,7100000000
Pakem,Sleman,472.0,130.0,,,1.0,,Lainnya,Unfurnished,2900000000
Maguwoharjo,Yogyakarta,203.0,250.0,4.0,3.0,1.0,,Lainnya,,1300000000
Maguwoharjo,Yogyakarta,355.0,1000.0,26.0,25.0,3.0,,Lainnya,,8500000000
Caturtunggal,Sleman,111.0,178.0,5.0,3.0,2.0,1.0,Lainnya,,1850000000
Umbulharjo,Yogyakarta,420.0,200.0,4.0,3.0,1.0,,Lainnya,Unfurnished,4200000000
Ngemplak,Sleman,120.0,75.0,3.0,2.0,1.0,,Lainnya,,825000000
Ngemplak,Sleman,129.0,129.0,3.0,2.0,1.0,,Lainnya,,795000000
Ngemplak,Sleman,111.0,80.0,3.0,2.0,1.0,,Lainnya,,775000000
Ngemplak,Sleman,80.0,36.0,2.0,1.0,1.0,,Lainnya,,535000000
Banguntapan,Bantul,97.0,52.0,3.0,1.0,1.0,,Lainnya,,775000000
Ngaglik,Sleman,120.0,90.0,3.0,2.0,1.0,,Lainnya,Unfurnished,825000000
Ngemplak,Sleman,500.0,200.0,5.0,2.0,1.0,,Lainnya,Unfurnished,2100000000
Maguwoharjo,Yogyakarta,150.0,160.0,3.0,4.0,2.0,1.0,Lainnya,,1400000000
Maguwoharjo,Yogyakarta,897.0,897.0,8.0,5.0,2.0,3.0,Lainnya,Unfurnished,8500000000
Maguwoharjo,Yogyakarta,125.0,156.0,4.0,3.0,2.0,,Lainnya,Unfurnished,1500000000
Kaliurang,Sleman,1050.0,735.0,7.0,7.0,1.0,2.0,Lainnya,Unfurnished,8500000000
Ngaglik,Sleman,136.0,180.0,4.0,5.0,2.0,,Lainnya,Unfurnished,2750000000
Depok,Sleman,105.0,100.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1200000000
Depok,Sleman,300.0,180.0,3.0,2.0,2.0,,Lainnya,Unfurnished,2200000000
Ngaglik,Sleman,607.0,500.0,6.0,7.0,1.0,,Lainnya,Unfurnished,3700000000
Depok,Sleman,126.0,126.0,3.0,3.0,2.0,,Lainnya,Furnished,2580000000
Kalasan,Sleman,75.0,40.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,490000000
Caturtunggal,Sleman,129.0,125.0,3.0,4.0,2.0,,Lainnya,Semi Furnished,1700000000
Ngaglik,Sleman,158.0,115.0,4.0,4.0,1.0,,Lainnya,Furnished,2200000000
Ngaglik,Sleman,103.0,80.0,2.0,2.0,1.0,,Lainnya,,875000000
Depok,Sleman,300.0,320.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,3800000000
Caturtunggal,Sleman,775.0,500.0,8.0,8.0,1.0,2.0,3500 Watt,Semi Furnished,12980000000
Maguwoharjo,Yogyakarta,40.0,40.0,1.0,1.0,1.0,,Lainnya,Furnished,365000000
Kaliurang,Sleman,649.0,300.0,8.0,3.0,2.0,1.0,2200 Watt,Unfurnished,3800000000
Kaliurang,Sleman,547.0,250.0,3.0,2.0,2.0,2.0,Lainnya,Unfurnished,6500000000
Kaliurang,Sleman,334.0,250.0,6.0,4.0,2.0,1.0,,Unfurnished,4500000000
Danurejan,Yogyakarta,1107.0,700.0,5.0,1.0,1.0,,Lainnya,Unfurnished,14000000000
Banguntapan,Bantul,80.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,799000000
Ngaglik,Sleman,109.0,70.0,3.0,2.0,1.0,,Lainnya,Furnished,770000000
Ngaglik,Sleman,90.0,90.0,3.0,1.0,1.0,,Lainnya,,980000000
Purwomartani,Sleman,104.0,85.0,3.0,2.0,1.0,,Lainnya,,650000000
Purwomartani,Sleman,194.0,140.0,3.0,2.0,1.0,,2200 Watt,Furnished,1600000000
Mergangsan,Yogyakarta,4300.0,2600.0,24.0,30.0,2.0,,8000 Watt,Furnished,65000000000
Mergangsan,Yogyakarta,103.0,54.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,850000000
Sleman,Sleman,105.0,150.0,4.0,4.0,2.0,1.0,2200 Watt,Unfurnished,1800000000
Mlati,Sleman,180.0,250.0,4.0,2.0,2.0,,2200 Watt,,3200000000
Ngaglik,Sleman,636.0,370.0,3.0,3.0,1.0,,4400 Watt,Semi Furnished,4900000000
Purwomartani,Sleman,159.0,170.0,4.0,3.0,2.0,,3500 Watt,Furnished,2500000000
Umbulharjo,Yogyakarta,123.0,74.0,4.0,2.0,1.0,1.0,1300 Watt,Unfurnished,1300000000
Kaliurang,Sleman,2.0,571.0,4.0,6.0,1.0,1.0,5500 Watt,Furnished,20000000000
Kaliurang,Yogyakarta,105.0,120.0,3.0,3.0,2.0,,2200 Watt,Furnished,1500000000
Ngampilan,Yogyakarta,793.0,251.0,7.0,3.0,,1.0,Lainnya,Unfurnished,11000000000
Gondokusuman,Yogyakarta,1140.0,560.0,8.0,4.0,1.0,2.0,Lainnya,Unfurnished,11000000000
Godean,Sleman,110.0,55.0,3.0,1.0,1.0,1.0,1300 Watt,Unfurnished,700000000
Godean,Sleman,110.0,55.0,3.0,1.0,1.0,1.0,1300 Watt,Unfurnished,700000000
Ngaglik,Sleman,96.0,125.0,3.0,3.0,2.0,,Lainnya,Furnished,1850000000
Ngemplak,Sleman,160.0,90.0,3.0,2.0,1.0,,Lainnya,Unfurnished,985000000
Purwomartani,Sleman,101.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,825000000
Ngaglik,Sleman,160.0,210.0,4.0,3.0,2.0,,Lainnya,Unfurnished,1800000000
Godean,Sleman,168.0,143.0,3.0,2.0,1.0,,Lainnya,Furnished,7500000000
Depok,Sleman,120.0,168.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,2640000000
Caturtunggal,Sleman,120.0,130.0,4.0,3.0,2.0,,3500 Watt,Furnished,2150000000
Wirobrajan,Yogyakarta,271.0,344.0,12.0,3.0,2.0,,4400 Watt,Unfurnished,4900000000
Ngaglik,Sleman,110.0,63.0,3.0,1.0,1.0,,Lainnya,Unfurnished,850000000
Ngaglik,Sleman,123.0,145.0,4.0,4.0,2.0,,2200 Watt,Furnished,1850000000
Depok,Sleman,123.0,70.0,3.0,2.0,1.0,1.0,Lainnya,,870000000
Ngaglik,Sleman,126.0,110.0,4.0,3.0,2.0,1.0,Lainnya,Unfurnished,1300000000
Sleman,Sleman,128.0,210.0,3.0,3.0,2.0,,Lainnya,Unfurnished,2800000000
